package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,n_trees,configured_max_depth,configured_min_leaf,measured_max_depth,measured_mean_depth,measured_min_depth,measured_total_leaves,measured_mean_leaves,measured_max_leaves,used_feature_count,occupied_train_leaves,training_rows
np025,720,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,15.96,15,65059,433.7266666666667,454,40,65059,21002
np025,720,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,15.99,15,32589,325.89,355,40,32589,7337
np025,720,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,15.98,15,65640,437.6,456,40,65640,21002
np025,720,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,15.99,15,33434,334.34,351,40,33434,7337
np025,720,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.933333333333334,15,69696,464.64,480,40,69696,21002
np025,720,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,16.0,16,32085,320.85,348,40,32085,7337
np025,720,robust,42,44,event42_timing44,power20,state,150,16,32,16,15.893333333333333,14,67289,448.5933333333333,467,20,67289,21002
np025,720,robust,42,44,event42_timing44,power20,downward_timing,100,16,16,16,15.93,13,31638,316.38,337,20,31638,7337
np025,720,robust,42,44,event42_timing44,weather_raw72,state,150,16,32,16,16.0,16,58447,389.64666666666665,429,72,58447,21002
np025,720,robust,42,44,event42_timing44,weather_raw72,downward_timing,100,16,16,16,15.99,15,31713,317.13,352,72,31713,7337
np025,720,robust,42,44,event42_timing44,joint_raw88,state,150,16,32,16,16.0,16,59835,398.9,438,88,59835,21002
np025,720,robust,42,44,event42_timing44,joint_raw88,downward_timing,100,16,16,16,15.99,15,31885,318.85,353,88,31885,7337
np025,720,robust,42,44,event42_timing44,weather_summary20,state,150,16,32,16,15.986666666666666,15,61808,412.05333333333334,446,20,61808,21002
np025,720,robust,42,44,event42_timing44,weather_summary20,downward_timing,100,16,16,16,16.0,16,31864,318.64,342,20,31864,7337
np025,720,robust,42,44,event42_timing44,weather_projection20,state,150,16,32,16,15.993333333333334,15,62903,419.35333333333335,450,20,62903,21002
np025,720,robust,42,44,event42_timing44,weather_projection20,downward_timing,100,16,16,16,15.96,15,32681,326.81,346,20,32681,7337
np025,720,robust,42,44,event42_timing44,noise20,state,150,16,32,16,15.966666666666667,15,69065,460.43333333333334,489,20,69065,21002
np025,720,robust,42,44,event42_timing44,noise20,downward_timing,100,16,16,16,16.0,16,31351,313.51,343,20,31351,7337
np025,720,robust,42,44,event42_timing44,power_weather_summary40,state,150,16,32,16,15.986666666666666,15,65065,433.76666666666665,457,40,65065,21002
np025,720,robust,42,44,event42_timing44,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32623,326.23,348,40,32623,7337
np025,720,robust,42,44,event42_timing44,power_weather_projection40,state,150,16,32,16,15.993333333333334,15,65617,437.44666666666666,461,40,65617,21002
np025,720,robust,42,44,event42_timing44,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,33090,330.9,351,40,33090,7337
np025,720,robust,42,44,event42_timing44,power_noise40,state,150,16,32,16,15.94,15,69673,464.4866666666667,482,40,69673,21002
np025,720,robust,42,44,event42_timing44,power_noise40,downward_timing,100,16,16,16,15.99,15,32469,324.69,348,40,32469,7337
np025,720,robust,43,45,event43_timing45,power20,state,150,16,32,16,15.926666666666666,15,67335,448.9,470,20,67335,21002
np025,720,robust,43,45,event43_timing45,power20,downward_timing,100,16,16,16,15.97,14,31176,311.76,337,20,31176,7337
