package,lead_minutes,run_type,event_seed,timing_seed,seed_label,comparison,candidate,reference,task,metric,valid_windows,blocks,candidate_score,reference_score,difference,reduction_pct,difference_low,difference_high,reduction_low,reduction_high
np025,15,robust,43,45,event43_timing45,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,downward_timing,conditional_median_mae_minutes,2653,10,51.225028269883154,51.03844704108556,0.18658122879759276,-0.36556995679628557,-0.6099270752628982,1.1361726541005324,-2.162920121511905,1.2163365741852383
np025,60,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,return_brier,6996,12,0.16640052545262962,0.16415439643544236,0.002246129017187265,-1.3683026869588666,-0.0027202750586839243,0.006968768912200929,-4.2084890850411565,1.7020235856508499
np025,60,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,multiclass_brier,6996,12,0.5833765109543664,0.60008963726144,-0.016713126307073667,2.7851049692085073,-0.03519093606578768,-0.0013079494258362151,0.21606903207355255,6.069021151791398
np025,60,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_rps,2653,10,0.16012517778235938,0.16142663523709067,-0.0013014574547312863,0.8062222524924723,-0.0037705726334870604,0.0012672348380006733,-0.7589261667848574,2.3650802324663123
np025,60,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_median_mae_minutes,2653,10,52.84206558612891,53.4074632491519,-0.565397663022992,1.058649163667158,-1.3919965258945322,0.30727793096286943,-0.5808177933177833,2.617364608575314
np025,60,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,return_brier,6996,12,0.17052655421091775,0.2063988558715354,-0.03587230166061764,17.3800874569503,-0.0517336146324245,-0.020621041219009883,12.223643125645431,22.209991208381634
np025,60,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,multiclass_brier,6996,12,0.6074099916818122,0.8341783859943953,-0.2267683943125831,27.184640374284008,-0.28914866264157285,-0.15662406400745207,21.769165734140238,31.243995031069844
np025,60,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_rps,2653,10,0.16706048694034722,0.1678359861173964,-0.0007754991770491659,0.4620577475600074,-0.0023667581090752016,0.0007629506971269113,-0.46269880178078315,1.3720044168275414
np025,60,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,56.03090840557859,56.15529589144365,-0.1243874858650571,0.2215062424486436,-1.0830405226450073,0.7311497620200345,-1.3437501693918978,1.8878653554681137
np025,60,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,state,return_brier,6996,12,0.17486315193733398,0.2063988558715354,-0.03153570393420141,15.279011020211042,-0.04712392484848163,-0.015263000794492528,9.477481215483618,19.966159135127885
np025,60,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,state,multiclass_brier,6996,12,0.6174784740563156,0.8341783859943953,-0.2166999119380797,25.977646457449165,-0.2883185466739049,-0.13791102767242133,19.796136198850956,30.592055414139313
np025,60,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,downward_timing,conditional_rps,2653,10,0.17216713257815883,0.1678359861173964,0.004331146460762436,-2.580582723023972,0.002633418867067848,0.0059056876729543795,-3.582167699283745,-1.5283796332726511
np025,60,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,57.76667923105918,56.15529589144365,1.6113833396155286,-2.8695126862666065,0.6895795498630706,2.396712563437667,-4.369098565607376,-1.1991557947344735
np025,60,primary,41,43,event41_timing43,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,state,return_brier,6996,12,0.16420810060259097,0.163879679141166,0.00032842146142497697,-0.20040401784169326,-0.0044491399023163635,0.004806895800570141,-2.9563953479384923,2.7439377954054636
np025,60,primary,41,43,event41_timing43,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,state,multiclass_brier,6996,12,0.5686151836902011,0.6027957558848573,-0.0341805721946562,5.670340552494735,-0.05132369991760271,-0.018476304681145205,2.942172444143786,9.033259218648332
np025,60,primary,41,43,event41_timing43,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,downward_timing,conditional_rps,2653,10,0.16107650731989112,0.1602887517862036,0.0007877555336875119,-0.49146027086057753,-0.0020621270384806683,0.003850641535468751,-2.3810370588195284,1.291184066372754
np025,60,primary,41,43,event41_timing43,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,downward_timing,conditional_median_mae_minutes,2653,10,53.39050131926121,52.94383716547305,0.4466641537881628,-0.8436565570269172,-0.3701266233282551,1.4794785257717284,-2.7845137352018066,0.7033867490451582
np025,60,primary,41,43,event41_timing43,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,state,return_brier,6996,12,0.16553950277198465,0.163879679141166,0.001659823630818652,-1.0128306569290313,-0.0038804204950149876,0.006971201233780378,-4.709527133874953,2.341121855292156
np025,60,primary,41,43,event41_timing43,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,state,multiclass_brier,6996,12,0.5764798604559942,0.6027957558848573,-0.026315895428863145,4.365640463117304,-0.0441939675699034,-0.011166676887246435,1.950648338740717,7.079883313746004
np025,60,primary,41,43,event41_timing43,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,downward_timing,conditional_rps,2653,10,0.16214888881556444,0.1602887517862036,0.001860137029360831,-1.1604913062408295,-0.0011588331407013778,0.0051158110744386085,-3.1588694387146505,0.7356894845974186
np025,60,primary,41,43,event41_timing43,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,downward_timing,conditional_median_mae_minutes,2653,10,53.70147003392386,52.94383716547305,0.7576328684508127,-1.4310123878684466,-0.2099392900860762,1.8204424519655058,-3.394519744158756,0.403771191016093
np025,120,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,return_brier,6996,12,0.16597148369552853,0.16658046313415645,-0.0006089794386279213,0.36557674721883204,-0.006750945552902688,0.004870763226323655,-2.8390306058026336,4.23005116385632
np025,120,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,multiclass_brier,6996,12,0.5925626901686234,0.6156173907040825,-0.023054700535459105,3.7449722641999084,-0.04674334735199551,-0.0028887098661351247,0.43861246250463615,7.630554477236632
np025,120,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_rps,2653,10,0.16748046926308877,0.1644505466017027,0.0030299226613860752,-1.8424521681429828,-0.00029445237711435077,0.006634745730987828,-3.950654470839241,0.18287307247980428
np025,120,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_median_mae_minutes,2653,10,55.635130041462496,54.47041085563513,1.1647191858273658,-2.1382603280049928,0.05354991713325106,2.40369078819121,-4.390251684903578,-0.09977435481897359
np025,120,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,return_brier,6996,12,0.17034499875244782,0.20660376042590406,-0.036258761673456236,17.549904028227992,-0.05235415739159118,-0.021162896986911938,12.365548570607235,22.3627955641531
np025,120,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,multiclass_brier,6996,12,0.6071829162190281,0.8353830085375747,-0.22820009231854665,27.316822342129598,-0.2910954162287384,-0.15812121257587422,21.87058745927954,31.416857336974484
np025,120,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_rps,2653,10,0.16706048694034722,0.1678359861173964,-0.0007754991770491659,0.4620577475600074,-0.0023667581090751726,0.0007629506971268842,-0.4626988017807826,1.3720044168275414
np025,120,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,56.03090840557859,56.15529589144365,-0.1243874858650571,0.2215062424486436,-1.0830405226450073,0.7311497620200345,-1.3437501693918978,1.8878653554681137
