bin_low,bin_high,n,mean_pred,obs_rate,abs_gap,package,lead_minutes,arm,target
0.1,0.2,544,0.15314934909531702,0.27389705882352944,0.12074770972821242,np028,480,power,downward
0.2,0.30000000000000004,412,0.24636014845011725,0.3470873786407767,0.10072723019065946,np028,480,power,downward
0.30000000000000004,0.4,343,0.3514085235518545,0.35276967930029157,0.0013611557484370929,np028,480,power,downward
0.4,0.5,342,0.4463689461722934,0.4590643274853801,0.012695381313086729,np028,480,power,downward
0.5,0.6000000000000001,236,0.5531698120635068,0.3855932203389831,0.16757659172452372,np028,480,power,downward
0.6000000000000001,0.7000000000000001,598,0.6588201650470347,0.35785953177257523,0.30096063327445943,np028,480,power,downward
0.7000000000000001,0.8,679,0.7495886225781714,0.39764359351988215,0.3519450290582892,np028,480,power,downward
0.8,0.9,202,0.8253624302179907,0.49504950495049505,0.33031292526749567,np028,480,power,downward
0.9,1.0,3,0.9033777216190352,1.0,0.09662227838096482,np028,480,power,downward
0.0,0.1,1078,0.05349417151983786,0.15955473098330242,0.10606055946346456,np028,480,weather,return
0.1,0.2,1353,0.14798134154272247,0.13895048041389504,0.009030861128827422,np028,480,weather,return
0.2,0.30000000000000004,706,0.24259961090579288,0.26487252124645894,0.022272910340666058,np028,480,weather,return
0.30000000000000004,0.4,340,0.345041949859879,0.32941176470588235,0.015630185153996667,np028,480,weather,return
0.4,0.5,244,0.4392145182385782,0.38114754098360654,0.058066977254971675,np028,480,weather,return
0.5,0.6000000000000001,43,0.5353794844747435,0.6976744186046512,0.1622949341299077,np028,480,weather,return
0.6000000000000001,0.7000000000000001,8,0.6421451776672851,0.75,0.10785482233271493,np028,480,weather,return
0.0,0.1,425,0.05998347993147455,0.2376470588235294,0.17766357889205486,np028,480,weather,downward
0.1,0.2,540,0.15029009382107822,0.16666666666666666,0.01637657284558844,np028,480,weather,downward
0.2,0.30000000000000004,461,0.2438668811201461,0.2754880694143167,0.0316211882941706,np028,480,weather,downward
0.30000000000000004,0.4,484,0.3502078306962291,0.3884297520661157,0.03822192136988656,np028,480,weather,downward
0.4,0.5,502,0.45504986705701045,0.3147410358565737,0.14030883120043675,np028,480,weather,downward
0.5,0.6000000000000001,623,0.5449645780904606,0.4606741573033708,0.08429042078708981,np028,480,weather,downward
0.6000000000000001,0.7000000000000001,338,0.6445619173614043,0.47041420118343197,0.17414771617797237,np028,480,weather,downward
0.7000000000000001,0.8,247,0.7467678657056197,0.5668016194331984,0.1799662462724213,np028,480,weather,downward
0.8,0.9,152,0.8329450622751858,0.5131578947368421,0.3197871675383437,np028,480,weather,downward
0.0,0.1,1020,0.05938756903907831,0.13431372549019607,0.07492615645111776,np028,480,joint,return
0.1,0.2,1346,0.14633005842079372,0.1575037147102526,0.011173656289458878,np028,480,joint,return
0.2,0.30000000000000004,730,0.24528966264669516,0.27671232876712326,0.0314226661204281,np028,480,joint,return
0.30000000000000004,0.4,367,0.34890870492930165,0.29427792915531337,0.05463077577398828,np028,480,joint,return
0.4,0.5,242,0.4417282722726386,0.3760330578512397,0.06569521442139892,np028,480,joint,return
0.5,0.6000000000000001,56,0.5355938898286173,0.5535714285714286,0.017977538742811272,np028,480,joint,return
0.6000000000000001,0.7000000000000001,11,0.6514746662911061,0.6363636363636364,0.01511102992746971,np028,480,joint,return
0.0,0.1,373,0.060668720089035046,0.21179624664879357,0.15112752655975853,np028,480,joint,downward
0.1,0.2,494,0.15385987678044116,0.19433198380566802,0.040472107025226856,np028,480,joint,downward
0.2,0.30000000000000004,533,0.24980023271824292,0.21575984990619138,0.034040382812051545,np028,480,joint,downward
0.30000000000000004,0.4,686,0.3543013515601039,0.3119533527696793,0.04234799879042461,np028,480,joint,downward
0.4,0.5,522,0.4451482449946274,0.3735632183908046,0.07158502660382282,np028,480,joint,downward
0.5,0.6000000000000001,395,0.5526376395846688,0.5721518987341773,0.01951425914950844,np028,480,joint,downward
0.6000000000000001,0.7000000000000001,442,0.6447387099395161,0.5090497737556561,0.13568893618386002,np028,480,joint,downward
0.7000000000000001,0.8,243,0.7463657441090513,0.5925925925925926,0.15377315151645876,np028,480,joint,downward
0.8,0.9,84,0.8212132048770203,0.40476190476190477,0.41645130011511555,np028,480,joint,downward
0.0,0.1,1351,0.05510281343477996,0.19170984455958548,0.13660703112480552,np028,720,power,return
0.1,0.2,919,0.1457386587399832,0.17736670293797607,0.031628044197992866,np028,720,power,return
0.2,0.30000000000000004,631,0.24376171459251236,0.22503961965134706,0.018722094941165307,np028,720,power,return
0.30000000000000004,0.4,452,0.34779595967650007,0.2610619469026549,0.08673401277384518,np028,720,power,return
0.4,0.5,260,0.4401058518181227,0.21153846153846154,0.22856739027966114,np028,720,power,return
0.5,0.6000000000000001,147,0.5486374699722427,0.3333333333333333,0.2153041366389094,np028,720,power,return
0.6000000000000001,0.7000000000000001,12,0.6065012077574873,0.16666666666666666,0.43983454109082065,np028,720,power,return
0.0,0.1,482,0.06992215385414809,0.23651452282157676,0.16659236896742868,np028,720,power,downward
0.1,0.2,560,0.14877026459651052,0.25357142857142856,0.10480116397491804,np028,720,power,downward
0.2,0.30000000000000004,358,0.24335712608435436,0.3407821229050279,0.09742499682067354,np028,720,power,downward
0.30000000000000004,0.4,336,0.34876867043060145,0.44047619047619047,0.09170752004558902,np028,720,power,downward
0.4,0.5,266,0.44372260233806077,0.4473684210526316,0.0036458187145708143,np028,720,power,downward
0.5,0.6000000000000001,294,0.5529072162699146,0.41156462585034015,0.14134259041957442,np028,720,power,downward
0.6000000000000001,0.7000000000000001,546,0.6531330979047439,0.47619047619047616,0.17694262171426778,np028,720,power,downward
0.7000000000000001,0.8,697,0.7463000799374441,0.3113342898134864,0.4349657901239577,np028,720,power,downward
0.8,0.9,230,0.831390481936326,0.3565217391304348,0.47486874280589125,np028,720,power,downward
0.9,1.0,3,0.9056933285453871,1.0,0.09430667145461291,np028,720,power,downward
0.0,0.1,1034,0.05225123588173082,0.1595744680851064,0.10732323220337557,np028,720,weather,return
0.1,0.2,1332,0.14917316049133264,0.14114114114114115,0.008032019350191488,np028,720,weather,return
0.2,0.30000000000000004,751,0.24128885178122747,0.25033288948069243,0.009044037699464963,np028,720,weather,return
0.30000000000000004,0.4,372,0.34484917976960955,0.3387096774193548,0.006139502350254733,np028,720,weather,return
0.4,0.5,238,0.44122079521448787,0.39915966386554624,0.04206113134894163,np028,720,weather,return
0.5,0.6000000000000001,34,0.5414176704749539,0.5,0.04141767047495393,np028,720,weather,return
0.6000000000000001,0.7000000000000001,11,0.6310091221381942,0.8181818181818182,0.18717269604362408,np028,720,weather,return
0.0,0.1,439,0.05901882018880149,0.23690205011389523,0.17788322992509376,np028,720,weather,downward
0.1,0.2,558,0.1515578408119369,0.16308243727598568,0.01152459646404877,np028,720,weather,downward
0.2,0.30000000000000004,442,0.24689676846449535,0.2895927601809955,0.04269599171650015,np028,720,weather,downward
0.30000000000000004,0.4,468,0.34845396515884247,0.3995726495726496,0.051118684413807125,np028,720,weather,downward
0.4,0.5,410,0.45728777292962597,0.34146341463414637,0.1158243582954796,np028,720,weather,downward
0.5,0.6000000000000001,713,0.5459357587303496,0.426367461430575,0.11956829729977458,np028,720,weather,downward
0.6000000000000001,0.7000000000000001,335,0.6464731247137399,0.48059701492537316,0.1658761097883667,np028,720,weather,downward
